Species Common Name,Scientific Name,TaxonClass,Overall Sample Size,Overall MLE,Overall CI - lower,Overall CI - upper,Male Sample Size,Male MLE,Male CI - lower
Addax,Addax nasomaculatus,Mammalia,,13.4,12.4,14.5,558,12.3,10.5
"Agouti, Brazilian",Dasyprocta leporina,Mammalia,,8.1,7.2,9.3,216,8.8,6.9
"Alligator, Chinese",Alligator sinensis,Reptilia,,30.9,25.9,34.3,151,25.9,23.9
"Anoa, Lowland",Bubalus depressicornis,Mammalia,,17.7,15.3,21.2,113,16.3,14.7
"Anteater, Giant",Myrmecophaga tridactyla,Mammalia,,19.7,17.1,21.5,86,19.4,17.1
"Antelope, Roan",Hippotragus equinus,Mammalia,,12.5,11.5,13.2,210,12.7,10.6
"Antelope, Sable",Hippotragus niger,Mammalia,,11.3,10.5,11.9,602,10.6,9.8
"Aracari, Green",Pteroglossus viridis,Aves,,7.9,6.3,9.3,174,8.5,6.1
"Argus, Great",Argusianus argus�,Aves,,10.8,9.4,12.5,138,10.6,8.3
"Armadillo, Southern Three-banded",Tolypeutes matacas,Mammalia,,17.6,15,18.8,109,16.4,12.6
"Baboon, Hamadryas",Papio hamadryas,Mammalia,,27.3,25.2,29.8,57,27.2,22.3
Barasingha,Rucervus duvaucelii,Mammalia,,11.9,10.8,12.9,228,9,7.5
"Barbet, Red and Yellow",Trachyphonus erythrocephalus,Aves,,4.6,3.3,5.6,76,4.6,3.6
"Bat, Rodrigues Fruit",Pteropus rodricensis,Mammalia,,14.4,13.3,15.4,235,13.6,12.6
"Bat, Straw-Colored Fruit",Eidolon helvum,Mammalia,,19,18.3,20.5,490,18.2,17.7
"Bear, Andean Spectacled",Tremarctos ornatus,Mammalia,,26.1,23.8,27.7,79,26.4,24.7
"Bear, Asiatic Black",Ursus thibetanus,Mammalia,,25,22.4,27,82,22.9,20
"Bear, Brown ",Ursus arctos,Mammalia,,24.3,21.8,26.5,193,21.9,20.6
"Bear, Polar",Ursus maritimus,Mammalia,,22.7,21.5,23.7,251,20.8,18.4
"Bear, Sloth",Melursus ursinus,Mammalia,,17.8,14,19.3,66,15.8,13.6
"Bear, Sun",Helarctos malayanus,Mammalia,,22.6,19.9,24,66,21,17.5
"Bettong, Brush-tailed",Bettongia penicillata,Mammalia,,8.2,7.6,9.6,172,8.3,7.5
Binturong,Arctictis binturong,Mammalia,,16.4,14.8,17.5,210,17.9,16.4
"Bird-of-paradise, Raggiana",Paradisaea raggiana,Aves,,14.5,11.7,18.3,54,12.6,9.3
"Bluebird, Fairy",Irena puella,Aves,,5,4.3,5.7,219,4.9,3.9
"Boa, Jamaican",Chilabothrus subflavus,Reptilia,,17.4,15.7,19,93,21.3,16.6
Bobcat,Lynx rufus,Mammalia,,17.8,16.8,18.6,378,16.8,15.1
"Bongo, Eastern",Tragelaphus eurycerus isaaci,Mammalia,,11.2,10.3,11.9,523,9.2,8.4
Bonobo,Pan paniscus,Mammalia,,35.6,31.8,37.8,134,31.5,25.6
Bontebok,Damaliscus pygargus pygarus,Mammalia,,11.2,10.4,11.8,134,10.9,9.7
"Buffalo, African Savannah",Syncerus caffer,Mammalia,,18.8,16.8,22,138,17.3,15.4
"Bushbaby, Moholi",Galago moholi,Mammalia,,5.9,5.4,6.2,356,5.7,5.2
"Bushmaster, South American",Lachesis muta,Reptilia,,7.8,6.4,9.1,109,8.9,6.4
"Bustard, Buff-crested",Lophotis gindiana,Aves,,6.9,5.2,9.6,55,8.4,3.2
"Buttonquail, Madagascar",Turnix nigricollis,Aves,,3.2,2.9,4.7,35,3.3,2.9
Callimico,Callimico goeldii,Mammalia,,8.9,8.3,9.6,299,8.5,8
"Camel, Bactrian ",Camelus bactrianus,Mammalia,,17.8,16.6,18.5,218,16.9,15.7
Capybara,Hydrochaeris hydrochaeris,Mammalia,,7.8,7.3,8.3,332,7.1,6.6
Caracal,Caracal caracal,Mammalia,,12.7,12.2,13.6,219,12.5,11.7
"Cardinal, Red-capped",Paroaria gularis,Aves,,5.7,5,6.4,99,5.7,4.3
"Cardinal, Red-crested",Paroaria coronata,Aves,,4.1,3.6,4.8,157,4.2,3.5
"Cassowary, Southern (Double-wattled)",Casuarius casuarius,Aves,,26.2,18.4,30.6,53,30.5,16.6
"Cat, Black-footed",Felis nigripes,Mammalia,,5.3,4.7,6.8,76,5.8,4.3
"Cat, Fishing",Prionailurus viverrinus,Mammalia,,11.5,11.1,12.2,112,10.9,10
"Cat, Pallas'",Felis manul,Mammalia,,8.5,7.5,9.2,98,7.9,6.7
"Cat, Sand",Felis margarita,Mammalia,,9.9,7.8,10.6,85,9.9,7.2
"Chat, Snowy-Headed Robin",Cossypha niveicapilla,Aves,,4,3.3,5,103,4.8,3.4
Cheetah,Acinonyx jubatus,Mammalia,,11.6,11.1,12,501,11.4,10.8
"Chevrotain, Greater Malayan",Tragulus napu,Mammalia,,7.1,6.3,7.9,148,6.3,5
Chimpanzee,Pan troglodytes,Mammalia,,36.3,32.7,39.4,299,31.6,26.6
"Coati, White-Nosed",Nasua narica,Mammalia,,13.3,12.4,13.9,231,12.3,11.7
"Colobus, Angolan",Colobus angolensis,Mammalia,,18.2,15.2,20.9,78,20.6,13.9
"Colobus, Guereza",Colobus guereza,Mammalia,,12.5,11.6,13.9,483,15,13.3
"Condor, Andean",Vultur gryphus,Aves,,47,38,52.9,132,51.3,41.3
"Conure, Golden",Guarouba guarouba,Aves,,17,14.1,19.7,142,17.1,13.8
"Crake, Black",Zapornia flavirostra,Aves,,3.7,3.4,4.2,128,4.1,3.4
"Crane, Black-crowned",Balearica pavonina,Aves,,12.6,11.1,14,176,12.6,10.7
"Crane, Blue",Anthropoides paradisea,Aves,,13.6,10.8,15.9,123,11.4,9.2
"Crane, Demoiselle",Anthropoides virgo,Aves,,14,11.4,16,173,14.1,9.9
"Crane, Grey-crowned",Balearica regulorum,Aves,,12.5,11.1,14.2,336,13.7,10.9
"Crane, Hooded",Grus monacha,Aves,,14,10.2,16.7,52,16.9,6.7
"Crane, Red-crowned",Grus japonensis,Aves,,29.3,21.3,32.4,83,24.5,16
"Crane, White-naped",Grus vipio,Aves,,15.1,13,19.6,124,20.5,14.4
"Crane, Whooping",Grus americana,Aves,,28.4,23.2,33.6,125,31.8,23.2
"Curassow, Helmeted",Pauxi pauxi,Aves,,16.6,12.2,19.4,61,15.4,9.1
"Curassow, Wattled",Crax globulosa,Aves,,12.7,11.4,17,62,16.6,10.8
"Deer, Eld's",Rucervus eldii thamin,Mammalia,,11.6,10.3,12.1,196,9.5,7.7
"Deer, Mexican Red Brocket",Mazama temama,Mammalia,,5.3,4.6,5.7,131,4.9,4.1
"Deer, P�re David�s",Elaphurus davidianus,Mammalia,,15.3,14,16.1,176,13.2,11.2
"Deer, Western Tufted",Elaphodus cehalophus,Mammalia,,12.1,9.2,14.4,92,14.4,11.1
"Dik-dik, Kirk's",Madoqua kirkii,Mammalia,,4.6,4.2,5.1,212,4.3,3.8
"Dikkop, Spotted",Burhinus capensis,Aves,,16.5,11.3,19.7,46,16.7,8.2
